Date,Dividends,Company
08/10/1987,0.5,Eli Lilly and Company (LLY)
11/13/2012,0.49,Eli Lilly and Company (LLY)
05/14/2013,0.49,Eli Lilly and Company (LLY)
11/11/2016,0.51,Eli Lilly and Company (LLY)
11/13/2007,0.425,Eli Lilly and Company (LLY)
02/09/1995,0.6452,Eli Lilly and Company (LLY)
02/10/2016,0.51,Eli Lilly and Company (LLY)
02/06/1978,0.025,Eli Lilly and Company (LLY)
08/06/1979,0.03281,Eli Lilly and Company (LLY)
11/08/1994,0.6252,Eli Lilly and Company (LLY)
02/07/1991,0.5,Eli Lilly and Company (LLY)
08/10/1992,0.55,Eli Lilly and Company (LLY)
02/08/1974,0.01469,Eli Lilly and Company (LLY)
11/13/1996,0.3426,Eli Lilly and Company (LLY)
11/14/2017,0.52,Eli Lilly and Company (LLY)
08/11/1986,0.4504,Eli Lilly and Company (LLY)
02/08/1980,0.03281,Eli Lilly and Company (LLY)
08/09/1982,0.04063,Eli Lilly and Company (LLY)
02/07/1975,0.01719,Eli Lilly and Company (LLY)
05/13/2008,0.47,Eli Lilly and Company (LLY)
08/07/1978,0.025,Eli Lilly and Company (LLY)
02/05/1979,0.02813,Eli Lilly and Company (LLY)
05/11/2012,0.49,Eli Lilly and Company (LLY)
05/09/1995,0.6452,Eli Lilly and Company (LLY)
02/10/1992,0.55,Eli Lilly and Company (LLY)
06/13/2012,0.42,"Merck & Co., Inc. (MRK)"
06/13/2016,0.46,"Merck & Co., Inc. (MRK)"
03/01/1982,0.01944,"Merck & Co., Inc. (MRK)"
08/30/1982,0.01944,"Merck & Co., Inc. (MRK)"
12/04/1989,0.15,"Merck & Co., Inc. (MRK)"
06/03/1991,0.1866,"Merck & Co., Inc. (MRK)"
03/13/2013,0.43,"Merck & Co., Inc. (MRK)"
03/05/1990,0.15,"Merck & Co., Inc. (MRK)"
08/30/1974,0.00972,"Merck & Co., Inc. (MRK)"
03/13/2017,0.47,"Merck & Co., Inc. (MRK)"
06/01/1981,0.01806,"Merck & Co., Inc. (MRK)"
06/11/2015,0.45,"Merck & Co., Inc. (MRK)"
05/31/2006,0.38,"Merck & Co., Inc. (MRK)"
08/31/1981,0.01806,"Merck & Co., Inc. (MRK)"
02/28/1983,0.01944,"Merck & Co., Inc. (MRK)"
06/05/1973,0.00819,"Merck & Co., Inc. (MRK)"
12/06/1995,0.34,"Merck & Co., Inc. (MRK)"
08/30/2006,0.38,"Merck & Co., Inc. (MRK)"
12/03/1990,0.1866,"Merck & Co., Inc. (MRK)"
03/04/1991,0.1866,"Merck & Co., Inc. (MRK)"
08/31/1973,0.00819,"Merck & Co., Inc. (MRK)"
09/14/2018,0.48,"Merck & Co., Inc. (MRK)"
12/06/1971,0.00764,"Merck & Co., Inc. (MRK)"
06/01/1976,0.00972,"Merck & Co., Inc. (MRK)"
12/11/2009,0.38,"Merck & Co., Inc. (MRK)"
06/11/2010,0.38,"Merck & Co., Inc. (MRK)"
08/31/1984,0.02083,"Merck & Co., Inc. (MRK)"
06/09/1972,0.00764,"Merck & Co., Inc. (MRK)"
05/31/2001,0.34,"Merck & Co., Inc. (MRK)"
12/02/1991,0.2098,"Merck & Co., Inc. (MRK)"
03/06/1996,0.34,"Merck & Co., Inc. (MRK)"
09/03/1997,0.45,"Merck & Co., Inc. (MRK)"
08/30/2001,0.35,"Merck & Co., Inc. (MRK)"
03/02/1992,0.2298,"Merck & Co., Inc. (MRK)"
06/14/2019,0.55,"Merck & Co., Inc. (MRK)"
03/08/2006,0.38,"Merck & Co., Inc. (MRK)"
06/07/1971,0.00764,"Merck & Co., Inc. (MRK)"
08/29/1983,0.01944,"Merck & Co., Inc. (MRK)"
11/30/1976,0.01042,"Merck & Co., Inc. (MRK)"
12/03/1997,0.45,"Merck & Co., Inc. (MRK)"
03/02/1976,0.00972,"Merck & Co., Inc. (MRK)"
09/04/1996,0.4,"Merck & Co., Inc. (MRK)"
03/05/1997,0.42,"Merck & Co., Inc. (MRK)"
08/31/1992,0.25,"Merck & Co., Inc. (MRK)"
03/02/1972,0.00764,"Merck & Co., Inc. (MRK)"
12/14/2018,0.55,"Merck & Co., Inc. (MRK)"
08/29/1975,0.00972,"Merck & Co., Inc. (MRK)"
06/04/2009,0.38,"Merck & Co., Inc. (MRK)"
09/02/1986,0.061,"Merck & Co., Inc. (MRK)"
06/04/2003,0.36,"Merck & Co., Inc. (MRK)"
12/04/2002,0.36,"Merck & Co., Inc. (MRK)"
03/13/2012,0.42,"Merck & Co., Inc. (MRK)"
12/03/1973,0.00972,"Merck & Co., Inc. (MRK)"
06/03/1974,0.00972,"Merck & Co., Inc. (MRK)"
03/11/2016,0.46,"Merck & Co., Inc. (MRK)"
12/02/1998,0.54,"Merck & Co., Inc. (MRK)"
06/02/1999,0.27,"Merck & Co., Inc. (MRK)"
09/13/2016,0.46,"Merck & Co., Inc. (MRK)"
03/01/1977,0.01042,"Merck & Co., Inc. (MRK)"
03/11/2011,0.38,"Merck & Co., Inc. (MRK)"
09/05/1995,0.34,"Merck & Co., Inc. (MRK)"
